budget,runtime,vote_average,vote_count,popularity,hit
75000000,90.0,5.8,1557,47.094369,1
70000000,134.0,6.6,284,14.486311,1
53000000,118.0,5.4,292,18.61472,1
70000000,164.0,6.9,696,29.035222,1
70000000,121.0,6.4,573,27.055085,1
75000000,100.0,5.7,772,23.004607,1
75000000,116.0,7.1,2265,48.744209,1
80000000,130.0,5.8,369,14.209329,0
75000000,91.0,6.3,874,36.368839,1
75000000,123.0,6.2,302,24.353302,0
55000000,134.0,5.9,311,19.143321,1
75000000,110.0,5.7,880,37.917002,1
52000000,113.0,6.2,512,23.663713,1
75000000,94.0,6.3,313,14.44381,0
75000000,116.0,5.0,166,10.605084,0
75000000,99.0,6.1,221,11.873856,0
75000000,93.0,4.3,78,8.098369,0
45000000,113.0,5.7,276,20.374308,0
75000000,106.0,6.9,1946,42.006908,1
74000000,91.0,6.4,4571,875.581305,1
82000000,110.0,5.9,1623,39.127082,1
73000000,98.0,5.8,327,20.790703,1
75000000,134.0,5.8,476,18.65988,0
73000000,97.0,5.9,1022,45.720894,1
70000000,112.0,5.4,444,21.789615,1
75000000,146.0,5.7,390,20.199057,0
70000000,110.0,6.5,513,26.123705,1
72500000,116.0,6.2,491,12.599836,1
70000000,87.0,4.9,410,13.543053,1
72000000,177.0,7.7,3336,60.722162,1
72000000,125.0,6.6,765,32.227223,1
75000000,87.0,6.9,2264,46.875375,1
72000000,152.0,6.6,188,11.215702,0
94000000,116.0,4.5,179,8.468586,0
74500000,109.0,6.9,180,8.884318,0
60000000,108.0,6.2,1071,27.491891,1
71000000,85.0,5.4,686,21.462935,1
72000000,106.0,6.4,1599,28.848187,1
150000000,93.0,6.7,2988,47.320801,1
120000000,117.0,6.6,3877,82.643036,1
70000000,116.0,5.7,455,20.230535,1
70000000,124.0,5.8,1424,46.217769,1
74000000,93.0,5.8,719,36.952268,1
80000000,117.0,6.4,470,16.411345,1
70000000,153.0,7.9,6430,72.595961,1
70000000,144.0,6.6,1532,33.648404,1
70000000,124.0,6.6,1896,57.69847,1
80000000,117.0,5.8,770,34.052253,1
68000000,136.0,6.5,1078,27.299301,1
75000000,110.0,5.3,409,20.219385,0
70000000,101.0,5.5,1217,42.957216,1
75000000,88.0,5.4,666,29.412262,1
75000000,138.0,6.7,521,19.708731,1
70000000,120.0,6.2,2981,59.428223,1
70000000,103.0,6.3,391,19.711951,1
70000000,116.0,5.5,1448,49.199234,1
70000000,125.0,7.6,1994,46.199482,1
66000000,146.0,7.0,992,29.505574,1
70000000,118.0,5.8,1523,43.873266,1
70000000,139.0,7.1,808,24.961625,1
70000000,133.0,5.8,493,23.25645,1
70000000,92.0,6.2,2389,64.457947,1
70000000,116.0,6.0,352,20.089933,1
70000000,127.0,7.1,1184,48.032734,1
70000000,136.0,7.0,630,16.92991,1
70000000,111.0,5.2,304,14.780634,0
70000000,116.0,5.4,228,14.086292,0
60000000,105.0,5.0,609,29.261348,0
70000000,97.0,5.2,269,13.267631,0
70000000,88.0,6.1,1862,58.401204,1
75000000,123.0,6.0,385,23.515938,0
70000000,125.0,5.9,241,14.244518,0
66000000,116.0,6.1,695,29.501489,0
70000000,91.0,4.3,97,8.37378,0
70000000,97.0,5.5,179,10.930537,0
75000000,95.0,5.9,228,10.54544,0
70000000,88.0,5.9,43,6.682006,0
70000000,133.0,5.1,826,46.832372,0
70000000,107.0,5.7,439,24.664776,0
70000000,114.0,4.6,180,13.483387,0
50000000,115.0,6.7,1659,44.478043,1
70000000,99.0,4.4,533,25.020428,0
68000000,124.0,5.9,437,22.392544,1
68000000,124.0,5.8,2301,107.069763,1
68000000,124.0,6.7,423,22.572323,1
69000000,95.0,7.1,6478,113.858273,1
60000000,103.0,5.4,222,10.004564,0
68000000,115.0,6.2,2463,68.734513,1
70000000,127.0,6.9,395,18.888806,0
68000000,121.0,5.7,250,12.948627,0
36000000,105.0,5.4,611,27.11589,1
90000000,157.0,7.3,481,26.153669,0
80000000,114.0,6.3,588,28.223664,0
70000000,128.0,6.5,895,37.507136,1
69000000,114.0,5.5,531,11.023691,1
69000000,94.0,5.5,1269,38.634767,1
66000000,112.0,6.0,602,25.877794,1
66000000,121.0,6.6,488,18.59991,1
67000000,102.0,5.0,207,12.282911,0
70000000,169.0,7.9,5048,76.041867,1
66000000,130.0,6.1,1520,54.81489,1
70000000,127.0,6.1,992,31.39165,1
59000000,81.0,7.1,3857,99.561972,1
68000000,136.0,5.3,567,26.792794,1
65000000,149.0,6.7,1429,36.307296,1
63000000,136.0,7.9,8907,104.309993,1
52000000,140.0,7.3,1599,68.140214,1
65000000,104.0,5.5,297,14.646884,1
61000000,157.0,7.1,1884,48.356214,1
65000000,119.0,6.3,838,28.540267,1
65000000,98.0,6.5,1062,22.977983,1
95000000,136.0,6.3,1183,31.086791,1
65000000,95.0,6.2,1685,43.865294,1
65000000,137.0,7.3,1400,43.055253,1
65000000,130.0,6.3,403,15.772081,1
70000000,112.0,6.1,588,26.19909,1
50000000,108.0,5.7,453,22.769108,1
65000000,104.0,6.0,238,18.281798,1
63000000,128.0,5.9,447,24.697533,1
65000000,83.0,5.9,1743,31.349143,1
65000000,159.0,7.1,1234,27.870312,1
65000000,119.0,6.0,466,33.439187,1
